Source,Destination,Redirect type,ModifiedDate
/id/webhook/delivery-attempts-and-retries,/apidocs/webhook-behavior,replacewith,17 Jul 2025,
/id/webhook/events,https://docs.xendit.co/docs/id/payments-api-web-hooks,endswith,17 Jul 2025,
/id/webhook/getting-started,https://docs.xendit.co/docs/id/set-up-webhooks,endswith,17 Jul 2025,
/id/webhook,https://docs.xendit.co/docs/id/set-up-webhooks,endswith,16 Jul 2025,
/id/api-integration/checklists,https://docs.xendit.co/docs/id/integration-security-practices,endswith,16 Jul 2025,
/id/api-integration/ip-allowlist,https://docs.xendit.co/docs/id/ip-allowlist,endswith,16 Jul 2025,
/id/api-integration/api-logs,https://docs.xendit.co/docs/id/api-keys,endswith,16 Jul 2025,
/postman,https://docs.xendit.co/docs/en/payments-via-api-overview,replacewith,16 Jul 2025,
/id/postman,/id/payments-via-api-overview,replacewith,16 Jul 2025,
/id/api-integration/api-keys,https://docs.xendit.co/docs/id/create-an-api-key,endswith,16 Jul 2025,
/id/api-integration/quick-start,https://docs.xendit.co/docs/id/create-an-api-key,endswith,16 Jul 2025,
/id/api-integration,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,16 Jul 2025,
/id/integrations,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,16 Jul 2025,
/id/xendisburse/apis/xendisburse-tips-best-practices,https://docs.xendit.co/docs/id/operations-guide,endswith,16 Jul 2025,
/id/xendisburse/disbursement-errors,https://docs.xendit.co/docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/id/xendisburse/apis/testing-disbursements,https://docs.xendit.co/docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/id/xendisburse/apis/using-disbursement,https://docs.xendit.co/docs/id/payouts-via-api,endswith,16 Jul 2025,
/id/xendisburse/apis/onboarding-and-activation,https://docs.xendit.co/docs/id/payouts-via-api,endswith,16 Jul 2025,
/id/xendisburse/faq,https://docs.xendit.co/docs/id/payouts-overview,endswith,16 Jul 2025,
/id/xendisburse/tracking-and-notifications,https://docs.xendit.co/docs/id/integration-payouts,endswith,16 Jul 2025,
/id/xendisburse/limits-and-processing-times,https://docs.xendit.co/docs/id/payouts-coverage-overview,endswith,16 Jul 2025,
/id/xendisburse/channel-codes,https://docs.xendit.co/docs/id/payouts-coverage-overview,endswith,16 Jul 2025,
/id/payouts/payout-flow,https://docs.xendit.co/docs/id/payout-links-overview,endswith,16 Jul 2025,
/id/payouts/create-payout,https://docs.xendit.co/docs/id/payout-link-via-dashboard,endswith,16 Jul 2025,
/id/payouts,https://docs.xendit.co/docs/id/payout-links-overview,endswith,16 Jul 2025,
/id/multi-level-approval-feature,https://docs.xendit.co/docs/id/batch-payout-approval-workflows,endswith,16 Jul 2025,
/id/xendisburse/batch-disbursement/testing-batch-disbursement,https://docs.xendit.co/docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/id/xendisburse/batch-disbursement/using-batch-disbursement,https://docs.xendit.co/docs/id/batch-payouts-via-dashboard,endswith,16 Jul 2025,
/id/xendisburse/batch-disbursement/onboarding-activation,https://docs.xendit.co/docs/id/batch-payouts-via-dashboard,endswith,16 Jul 2025,
/id/xendisburse/batch-disbursement,https://docs.xendit.co/docs/id/batch-payouts-via-dashboard,endswith,16 Jul 2025,
/id/api-payouts-beta/payouts-errors,https://docs.xendit.co/docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/id/api-payouts-beta/testing-payouts,https://docs.xendit.co/docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/docs/id/payout-links,docs/id/test-scenarios-payout-links,endswith,16 Jul 2025,
/docs/id/cross-border-payouts,docs/id/test-scenarios-cross-border-payouts,endswith,16 Jul 2025,
/docs/id/payouts-1,docs/id/test-scenarios-payouts,endswith,16 Jul 2025,
/id/api-payouts-beta/using-payouts,https://docs.xendit.co/docs/id/integration-payouts,endswith,16 Jul 2025,
/id/api-payouts-beta/activation,https://docs.xendit.co/docs/id/integration-payouts,endswith,16 Jul 2025,
/id/api-payouts-beta/api-payouts-beta,https://docs.xendit.co/docs/id/integration-payouts,endswith,16 Jul 2025,
/id/top-up,https://docs.xendit.co/docs/id/top-up-balance,endswith,16 Jul 2025,
/id/disbursement,https://docs.xendit.co/docs/id/payouts-overview,endswith,16 Jul 2025,
/id/subscriptions-payment-failure-code,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/subscriptions-webhook,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/using-your-own-linking-ui,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/using-xendit-linking-ui,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/integration-guide,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/recurring/test-setup,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/recurring/concepts,https://docs.xendit.co/docs/id/how-subscriptions-work,endswith,16 Jul 2025,
/id/recurring/features/paymentlink-for-failed-autocharged,https://docs.xendit.co/docs/id/recover-failed-payments,endswith,16 Jul 2025,
/id/recurring/features/force-recurring-cycle-attempt,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/recurring/pembuatan-rencana-melalui-dashboard,https://docs.xendit.co/docs/id/how-subscriptions-work,endswith,16 Jul 2025,
/id/recurring/features/features,https://docs.xendit.co/docs/id/subscriptions-features,endswith,16 Jul 2025,
/id/recurring/recurring-flows,https://docs.xendit.co/docs/id/subscriptions-overview,endswith,16 Jul 2025,
/id/recurring/payment-channels,https://docs.xendit.co/docs/id/subscriptions-features,endswith,16 Jul 2025,
/id/recurring,https://docs.xendit.co/docs/id/how-subscriptions-work,endswith,16 Jul 2025,
/id/ewallet/rules-and-limitation,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/ewallet/settlements,https://docs.xendit.co/docs/id/settlements,endswith,14 Jul 2025,
/id/ewallet/activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,14 Jul 2025,
/id/ewallet/payment-flows/void-and-refund,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/ewallet/payment-flows/tokenized-payment,https://docs.xendit.co/docs/id/pay-and-save,endswith,14 Jul 2025,
/id/ewallet/payment-flows/one-time-payment,https://docs.xendit.co/docs/id/pay-one-off-payment,endswith,14 Jul 2025,
/docs/id/guest-checkout,docs/id/pay-one-off-payment,endswith,14 Jul 2025,
/id/ewallet,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/rules-and-limitations,https://docs.xendit.co/docs/id/settlements,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/settlement,https://docs.xendit.co/docs/id/settlements,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/testing,https://docs.xendit.co/docs/id/error-scenarios,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/making-payments,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/onboarding-activation,https://docs.xendit.co/docs/id/activating-payment-channels,endswith,14 Jul 2025,
/id/xenpayments/virtual-account/feature-list,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/xenpayments/virtual-account,https://docs.xendit.co/docs/id/available-payment-channels,endswith,14 Jul 2025,
/id/payment-link/faq,https://docs.xendit.co/docs/id/payment-links-api-overview,endswith,14 Jul 2025,
/id/payment-link/reports,https://docs.xendit.co/docs/id/transactions-report,endswith,14 Jul 2025,
/id/payment-link/notification-and-callback,https://docs.xendit.co/docs/id/send-notifications-to-customer,endswith,14 Jul 2025,
/id/payment-link/statuses,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,14 Jul 2025,
/id/payment-link/integration-and-testing/faq,https://docs.xendit.co/docs/id/payments-via-api-overview,endswith,14 Jul 2025,
